timestamp,BTCUSDT_open,BTCUSDT_high,BTCUSDT_low,BTCUSDT_close,BTCUSDT_volume,XRPUSDT_open,XRPUSDT_high,XRPUSDT_low,XRPUSDT_close,XRPUSDT_volume,ETHUSDT_open,ETHUSDT_high,ETHUSDT_low,ETHUSDT_close,ETHUSDT_volume,SOLUSDT_open,SOLUSDT_high,SOLUSDT_low,SOLUSDT_close,SOLUSDT_volume,DOGEUSDT_open,DOGEUSDT_high,DOGEUSDT_low,DOGEUSDT_close,DOGEUSDT_volume,ADAUSDT_open,ADAUSDT_high,ADAUSDT_low,ADAUSDT_close,ADAUSDT_volume,SHIBUSDT_open,SHIBUSDT_high,SHIBUSDT_low,SHIBUSDT_close,SHIBUSDT_volume,DOTUSDT_open,DOTUSDT_high,DOTUSDT_low,DOTUSDT_close,DOTUSDT_volume,BTTUSDT_open,BTTUSDT_high,BTTUSDT_low,BTTUSDT_close,BTTUSDT_volume,LINKUSDT_open,LINKUSDT_high,LINKUSDT_low,LINKUSDT_close,LINKUSDT_volume,ALGOUSDT_open,ALGOUSDT_high,ALGOUSDT_low,ALGOUSDT_close,ALGOUSDT_volume,AVAXUSDT_open,AVAXUSDT_high,AVAXUSDT_low,AVAXUSDT_close,AVAXUSDT_volume
2025-02-01,102429.56,102783.71,100279.51,100635.65,12290.95747,3.0361,3.0727,2.8281,2.8778,173601404.0,3300.99,3331.98,3101.7,3117.54,354065.2525,231.77,236.46,212.74,213.03,2849748.65,0.3289,0.33227,0.30328,0.30792,904981799.0,0.9428,0.9576,0.8875,0.8948,88384785.8,1.889e-05,1.925e-05,1.747e-05,1.76e-05,2627678057063.0,6.322,6.492,5.861,5.905,6999151.58,,,,,,25.16,25.99,22.76,22.98,4595841.04,0.3792,0.3859,0.3445,0.3477,57278810.0,34.42,35.1,31.87,32.11,1623830.23
2025-02-02,100635.66,101456.6,96150.0,97700.59,34619.49939,2.8779,2.9559,2.4603,2.58,684089012.0,3117.54,3163.2,2750.71,2869.68,1050805.93,213.03,218.9,192.31,203.51,7255500.333,0.30793,0.31487,0.25001,0.26808,3690220690.0,0.8947,0.9113,0.7513,0.8052,340523726.6,1.761e-05,1.796e-05,1.471e-05,1.551e-05,8899643466817.0,5.906,6.048,4.863,5.153,17423977.29,,,,,,22.98,23.33,19.29,20.46,12557348.56,0.3476,0.3564,0.2808,0.2997,174258924.0,32.11,32.59,25.91,27.63,5849752.61
2025-02-03,97700.59,102500.01,91231.0,101328.52,75164.7385,2.5801,2.7814,1.7711,2.7001,1866758972.0,2869.68,2921.0,2125.01,2879.9,2807979.021,203.52,218.7,175.89,216.28,12836970.265,0.26809,0.29295,0.20178,0.28485,7185937771.0,0.8051,0.8245,0.506,0.812,1336951229.5,1.552e-05,1.688e-05,1.16e-05,1.68e-05,20635270646663.0,5.155,5.28,3.78,5.176,44336682.05,,,,,,20.47,22.05,15.4,21.64,31291131.83,0.2998,0.3188,0.2191,0.3129,401689133.0,27.63,28.78,21.2,28.39,16232211.47
2025-02-04,101328.51,101732.31,96150.0,97763.13,40267.98697,2.7,2.7874,2.4209,2.5274,621552965.0,2879.89,2888.5,2632.6,2731.19,1259594.3919,216.27,219.97,201.87,206.64,6024194.387,0.28484,0.289,0.25525,0.26345,2848033074.0,0.8121,0.8198,0.715,0.7439,336202720.8,1.679e-05,1.694e-05,1.506e-05,1.575e-05,7350292457897.0,5.177,5.229,4.581,4.742,16164176.0,,,,,,21.64,21.71,19.32,19.97,10301205.02,0.3128,0.3169,0.2782,0.2909,149937916.0,28.4,28.64,25.54,26.46,4687789.13
2025-02-05,97763.14,99149.0,96155.0,96612.43,26233.30444,2.5275,2.5692,2.3384,2.381,338815093.0,2731.19,2826.95,2699.13,2788.25,686593.0429,206.64,209.39,195.14,196.12,3154802.037,0.26346,0.26914,0.25333,0.25619,965551362.0,0.744,0.7764,0.7251,0.7325,174717874.3,1.575e-05,1.676e-05,1.55e-05,1.577e-05,3837838627256.0,4.743,4.865,4.628,4.689,6698304.03,,,,,,19.98,20.27,18.96,19.19,5964659.67,0.2909,0.2995,0.2779,0.2814,89637942.0,26.47,27.41,25.62,25.84,2339405.41
2025-02-06,96612.44,99120.0,95676.64,96554.35,23515.20405,2.381,2.4699,2.2772,2.325,322896937.0,2788.25,2857.64,2655.28,2686.64,719459.9571,196.12,203.98,187.39,189.54,3444767.147,0.25617,0.26596,0.24274,0.24789,1180387671.0,0.7325,0.766,0.6978,0.7052,187578647.3,1.577e-05,1.616e-05,1.473e-05,1.486e-05,3492494016702.0,4.689,4.838,4.441,4.49,6626961.02,,,,,,19.19,19.94,18.41,18.58,4582527.29,0.2815,0.2977,0.2636,0.2668,92751961.0,25.85,26.82,24.28,24.5,2104041.57
2025-02-07,96554.35,100137.99,95620.34,96506.8,31794.22065,2.3251,2.542,2.2655,2.3968,447487945.0,2686.63,2797.5,2562.51,2622.1,695467.3612,189.53,203.42,188.12,191.99,3925596.773,0.24788,0.26178,0.23866,0.24651,1308847334.0,0.7052,0.7532,0.6902,0.7072,206190185.9,1.486e-05,1.572e-05,1.462e-05,1.51e-05,3358832754906.0,4.49,4.938,4.459,4.593,9796463.72,,,,,,18.59,19.86,17.79,18.39,5908194.93,0.2668,0.2952,0.2604,0.2696,90463295.0,24.5,26.22,23.71,24.46,2801287.99
2025-02-08,96506.8,96880.0,95688.0,96444.74,10147.24294,2.3969,2.4372,2.3506,2.419,154717204.0,2622.11,2667.3,2588.8,2632.46,379685.1509,192.0,200.88,189.81,199.32,1967596.752,0.24652,0.25417,0.24447,0.25288,619823663.0,0.7072,0.718,0.6815,0.7005,106440011.1,1.51e-05,1.607e-05,1.501e-05,1.596e-05,2330037781675.0,4.594,4.765,4.499,4.745,4650038.29,,,,,,18.39,18.63,17.87,18.45,2487416.07,0.2696,0.2781,0.2641,0.2759,46226914.0,24.46,24.82,23.91,24.58,1241644.47
2025-02-09,96444.75,97323.09,94713.0,96462.75,14120.91613,2.419,2.5079,2.3113,2.3928,204205603.0,2632.46,2698.9,2520.02,2627.18,387166.7911,199.32,207.37,193.53,200.47,2879138.46,0.25287,0.26,0.23975,0.2489,814554626.0,0.7006,0.716,0.6503,0.6814,145972643.5,1.596e-05,1.654e-05,1.514e-05,1.566e-05,2098392933305.0,4.745,4.878,4.511,4.762,7038964.34,,,,,,18.44,19.0,17.44,18.26,3353841.91,0.2759,0.2886,0.2583,0.275,64836468.0,24.59,25.52,23.66,24.87,1924433.81
2025-02-10,96462.75,98345.0,95256.0,97430.82,20572.87537,2.3928,2.4733,2.3235,2.4237,207257933.0,2627.18,2693.79,2559.85,2661.19,398173.2716,200.47,209.05,195.85,200.47,4040840.548,0.2489,0.25647,0.24158,0.25542,766688250.0,0.6815,0.7245,0.6632,0.7121,168781925.4,1.567e-05,1.612e-05,1.528e-05,1.58e-05,1648398895424.0,4.763,4.92,4.608,4.845,7055381.19,,,,,,18.26,19.13,17.67,18.81,3713087.79,0.275,0.2979,0.2684,0.2902,72494286.0,24.87,25.99,23.86,25.67,2019175.78
